dataset,method,lr,epoch,forget_id,batch_size,N,ascent_epochs,relative_cost,retain_klom_95,retain_klom_99,retain_klom_mean,retain_klom_std,val_klom_95,val_klom_99,val_klom_mean,val_klom_std,forget_klom_95,forget_klom_99,forget_klom_mean,forget_klom_std,average_95
cifar10,scrubnew,0.005,5,6,64.0,100.0,3.0,0.17291666666666666,0.911965062626014,1.3523726308267598,0.42678604674466575,0.26499925736814656,0.8400663222355663,1.3143506333424917,0.4124980024534885,0.31727580077497236,9.825158919417925,9.988172902423075,4.617579308124436,3.7184330376987065,3.8590634347598347
cifar10,scrubnew,0.005,7,6,64.0,100.0,3.0,0.24166666666666667,0.911965062626014,1.3523726308267598,0.42678604674466575,0.26499925736814656,0.8400663222355663,1.3143506333424917,0.4124980024534885,0.31727580077497236,9.825158919417925,9.988172902423075,4.617579308124436,3.7184330376987065,3.8590634347598347
cifar10,scrubnew,0.005,10,6,64.0,100.0,3.0,0.34479166666666666,0.911965062626014,1.3523726308267598,0.42678604674466575,0.26499925736814656,0.8400663222355663,1.3143506333424917,0.4124980024534885,0.31727580077497236,9.825158919417925,9.988172902423075,4.617579308124436,3.7184330376987065,3.8590634347598347
cifar10,ascent_forget,0.0001,1,5,64.0,100.0,,6.944444444444444e-05,1.4973289095359845,2.1693526592175423,0.6312061270780057,0.44141339935526847,1.116271996784726,1.5437618841033756,0.5106142887046003,0.3194731247772271,9.859674788056505,9.95853981728894,8.436147171423718,2.3999694516021166,4.157758564792405
cifar10,ascent_forget,0.0001,3,5,64.0,100.0,,0.00020833333333333335,5.132498985735236,6.930956174882595,1.8630513523631436,1.6123463905331772,3.5640522413274884,4.9603329633493525,1.284418763193636,1.1064041092433898,9.75998405458527,9.895884207627756,7.798454129207901,2.682702227284376,6.152178427215998
cifar10,ascent_forget,0.0001,5,5,64.0,100.0,,0.00034722222222222224,7.571212569788401,9.023224642638363,2.876451739624459,2.404368960756457,5.997446999130797,7.647891738169052,2.082852196161056,1.8669815021039184,9.733374057795961,9.809121243347578,7.0391605819861,2.9713363491981957,7.767344542238386
cifar10,ascent_forget,0.0001,7,5,64.0,100.0,,0.0004861111111111111,8.7383131138888,9.607344573194617,3.5366286104019307,2.8313429922362245,7.468386498349423,8.815423448391684,2.6635894360865753,2.3361978908195864,9.624682394345816,9.803417100695246,6.278920597919685,3.1538394173760156,8.610460668861348
cifar10,ascent_forget,0.0001,10,5,64.0,100.0,,0.0006944444444444445,9.413696787823351,9.811616354274038,4.093948456323783,3.1360143731610473,8.532195331360196,9.443991541385785,3.1931795650611123,2.7106549805874125,9.581251259819238,9.789719357842785,5.414446299100167,3.2544843975320714,9.175714459667596
cifar10,do_nothing,,1,1,,,,0.0,0.6410535883804723,0.8753944144390119,0.3205253969477939,0.16853329636271422,0.6716225168844634,0.9071989953214425,0.33972915906530304,0.1715478967192825,9.125581427756606,9.424033833512137,4.839257475397856,3.7646120736738733,3.4794191776738472
cifar10,ascent_forget,0.001,1,2,64.0,100.0,,6.944444444444444e-05,0.7316138355306575,1.020408018728125,0.35772510717243455,0.19621055579139604,0.7058047538409828,0.9439275197591384,0.3570230778830286,0.18091073093151663,9.254926465405907,9.649600035736832,2.2870461839884793,2.93749681894822,3.5641150182591823
cifar10,ascent_forget,0.001,3,2,64.0,100.0,,0.00020833333333333335,1.4040680972388462,2.4355449878749877,0.5575897503203959,0.4530200605296551,0.9665994056624568,1.3956758214677356,0.45076402558578427,0.2658409495500167,9.253118123329722,9.6243018977987,2.1744010660952613,2.8376566949457254,3.8745952087436755
cifar10,ascent_forget,0.001,5,2,64.0,100.0,,0.00034722222222222224,2.2005003390425677,3.8887614590328092,0.7649732612133392,0.7385150541797546,1.361859313369458,1.8989497960006958,0.5627595461292261,0.3844430111017584,9.193505624948816,9.591348247263827,2.1429625398228715,2.7808962397685315,4.251955092453614
cifar10,ascent_forget,0.001,7,2,64.0,100.0,,0.0004861111111111111,2.862927963473483,4.893747283725954,0.9298677556116172,0.9513887150258384,1.6793000769112365,2.382213714846774,0.6560791569025858,0.4909695380000271,9.181876769981546,9.605150632387126,2.1049946051369255,2.701556504185722,4.574701603455422
cifar10,ascent_forget,0.001,10,2,64.0,100.0,,0.0006944444444444445,3.468555949175073,5.693586902021819,1.0890675432730919,1.1410914586767096,2.053493595859233,2.9218964477064624,0.7568660315746744,0.6113748164422946,8.83033726781703,9.513234749959262,2.088230908323476,2.6499934946948756,4.784128937617113
cifar10,ascent_forget,0.05,1,3,64.0,100.0,,0.0006944444444444445,0.8325610851172964,1.216081873526268,0.3906529687230647,0.2320220947501288,0.7780157686296632,1.0678251632204951,0.3826933453001264,0.20820842416277946,9.480838910029629,9.71184092770481,3.6356878709196083,3.5196175878467035,3.6971385879255294
cifar10,ascent_forget,0.05,3,3,64.0,100.0,,0.0020833333333333333,2.374910288461248,3.750730484650918,0.8672175854311582,0.7566500299393668,2.000189654273475,3.1367555813823884,0.7100782749630626,0.6332406741573878,9.068174210805525,9.651024228661678,2.6168536410868026,2.913270783108339,4.481091384513416
cifar10,ascent_forget,0.05,5,3,64.0,100.0,,0.003472222222222222,6.369378697323524,8.47324361789289,2.1921464553005214,2.0046791543871065,5.469287422119282,7.56400006456158,1.6211567540510188,1.7362461143384207,6.8525073266089285,9.324617727915166,2.0580596537429487,2.1561219925811526,6.230391148683911
cifar10,ascent_forget,0.05,7,3,64.0,100.0,,0.004861111111111111,9.904859495958247,10.191354767399822,4.875197416269553,3.062370019135569,9.44952547841729,9.890477641126571,3.6231627717125163,2.9884501966724963,9.27232095922444,9.949615034915993,3.2343971191231513,2.9748466038973214,9.542235311199992
cifar10,ascent_forget,0.05,10,3,64.0,100.0,,0.006944444444444444,10.542353400945972,10.783596998238638,6.57269309643415,2.9848250604601487,10.290363814223777,10.514401160922937,5.106401518738598,3.300660565759708,10.361890362727864,10.772307618478326,5.016577528730868,3.4907468324821833,10.398202525965871
cifar10,do_nothing,,1,9,,,,0.0,0.6683603870350255,0.9500832597356871,0.32870646501156553,0.18366651451812818,0.718572925631954,1.030796519055828,0.3566479068955395,0.20421906129999431,9.56703160634599,9.790729443123922,2.968401312270392,3.2740819788483404,3.6513216396709898
cifar10,scrub,0.001,5,2,64.0,100.0,5.0,0.1736111111111111,0.8722940932949238,1.313124959995609,0.41016208911105734,0.24930924533834778,0.7456075856756265,1.0099684916196612,0.37306464888353436,0.1925675950450599,9.22776070508682,9.624848025881807,2.412103350213847,2.8864722175588096,3.61522079468579
cifar10,scrub,0.001,7,2,64.0,100.0,5.0,0.24291666666666667,0.8857526811215979,1.3465446285010136,0.41179464288187156,0.2547536461550931,0.7413217524947241,1.0109333269168597,0.3720929151441701,0.19191277737191187,9.078233703422137,9.624848025881807,2.41260273131741,2.8792549286379914,3.5684360456794866
cifar10,scrub,0.001,10,2,64.0,100.0,5.0,0.346875,0.9062231522649167,1.3836972282727258,0.41586375839894746,0.263508882784678,0.7350148053011344,0.9832710314577061,0.37128645877338856,0.19149165576182203,9.07758158899428,9.624880978588166,2.422927656487941,2.8801685478365933,3.572939848853444
cifar10,do_nothing,,1,4,,,,0.0,0.6474555759943345,0.8891288442324438,0.3232193941581096,0.1713110136199174,0.663111157965562,0.8959646020283355,0.34019387788452143,0.17065337736629596,9.992693112715736,10.00945523708553,9.613740458714059,0.2785487598370788,3.767753282225211
cifar10,scrub,5e-05,5,1,64.0,100.0,3.0,0.17359722222222224,1.1169916954641421,1.77977005972251,0.4714406789577885,0.3437693194894495,0.8288335462257677,1.1736302744820801,0.397150610111899,0.22174987540536256,9.286841045332514,9.486373138235026,5.188557409920115,3.688688730472817,3.744222095674141
cifar10,scrub,5e-05,7,1,64.0,100.0,3.0,0.2430277777777778,1.1186693861520467,1.7836227018274418,0.4715045307778854,0.34396288755704957,0.8270653597994823,1.182662073037671,0.3967457746179969,0.22160312844394048,9.286841045332514,9.486373138235026,5.190589654302464,3.6866329560152162,3.744191930428014
cifar10,scrub,5e-05,10,1,64.0,100.0,3.0,0.3471736111111111,1.1194282379495293,1.7894587916818903,0.47179757045927584,0.3447993848234185,0.8274071457972801,1.176154875672908,0.3969242084825192,0.22228423918084705,9.286841045332514,9.486373138235026,5.188803610351604,3.688788100151898,3.744558809693108
cifar10,scrubnew,0.001,5,1,64.0,100.0,3.0,0.17359722222222224,1.1170569910730657,1.7796384387773398,0.4718568170738563,0.34388262517632556,0.8335409887112291,1.1939712539404292,0.3978245163649995,0.22347811933867465,9.286841045332514,9.486373138235026,5.222599849695726,3.7187734636424175,3.7458130083722696
cifar10,scrubnew,0.001,7,1,64.0,100.0,3.0,0.2430277777777778,1.1170569910730657,1.7796384387773398,0.4718568170738563,0.34388262517632556,0.8335409887112291,1.1939712539404292,0.3978245163649995,0.22347811933867465,9.286841045332514,9.486373138235026,5.222599849695726,3.7187734636424175,3.7458130083722696
cifar10,scrubnew,0.001,10,1,64.0,100.0,3.0,0.3471736111111111,1.1170569910730657,1.7796384387773398,0.4718568170738563,0.34388262517632556,0.8335409887112291,1.1939712539404292,0.3978245163649995,0.22347811933867465,9.286841045332514,9.486373138235026,5.222599849695726,3.7187734636424175,3.7458130083722696
cifar10,scrubnew,5e-05,5,3,64.0,100.0,5.0,0.1736111111111111,0.8736701759761716,1.2553543338777124,0.40915192374044806,0.2425307144199388,0.7723479402846333,1.0700020615820887,0.3853802561429084,0.20958839220660594,9.491562365232635,9.74976841278673,3.7194622626124505,3.5473360599201875,3.71252682716448
cifar10,scrubnew,5e-05,7,3,64.0,100.0,5.0,0.24166666666666667,0.8736701759761716,1.2553543338777124,0.40915192374044806,0.2425307144199388,0.7723479402846333,1.0700020615820887,0.3853802561429084,0.20958839220660594,9.491562365232635,9.74976841278673,3.7194622626124505,3.5473360599201875,3.71252682716448
cifar10,scrubnew,5e-05,10,3,64.0,100.0,5.0,0.34375,0.8736701759761716,1.2553543338777124,0.40915192374044806,0.2425307144199388,0.7723479402846333,1.0700020615820887,0.3853802561429084,0.20958839220660594,9.491562365232635,9.74976841278673,3.7194622626124505,3.5473360599201875,3.71252682716448
cifar10,scrubnew,0.005,5,8,64.0,100.0,3.0,0.17347222222222222,0.8815177590698641,1.261310133916911,0.41194942522087225,0.2464308270510233,0.7784485856525792,1.105938733671243,0.3847047134789542,0.21053110700936767,9.682294977290994,9.922290882012016,5.9978478830786575,3.457737032875666,3.780753774004479
cifar10,scrubnew,0.005,7,8,64.0,100.0,3.0,0.2427777777777778,0.8815177590698641,1.261310133916911,0.41194942522087225,0.2464308270510233,0.7784485856525792,1.105938733671243,0.3847047134789542,0.21053110700936767,9.682294977290994,9.922290882012016,5.9978478830786575,3.457737032875666,3.780753774004479
cifar10,scrubnew,0.005,10,8,64.0,100.0,3.0,0.34673611111111113,0.8815177590698641,1.261310133916911,0.41194942522087225,0.2464308270510233,0.7784485856525792,1.105938733671243,0.3847047134789542,0.21053110700936767,9.682294977290994,9.922290882012016,5.9978478830786575,3.457737032875666,3.780753774004479
cifar10,scrub,0.0005,5,3,64.0,100.0,5.0,0.1736111111111111,0.8608634710035473,1.2631064985566536,0.40390645944296283,0.24196229730239438,0.7678801589629534,1.0825164722298628,0.38093788662022243,0.20835414904378907,9.492558108960019,9.74980279801392,3.710808508248566,3.5502210541515935,3.707100579642173
cifar10,scrub,0.0005,7,3,64.0,100.0,5.0,0.24166666666666667,0.8654009895438024,1.2746730193054723,0.4055064360134864,0.24466778904679423,0.768508284573943,1.0845388009509107,0.38087248884587305,0.20787718715687242,9.49247208711434,9.74980279801392,3.7142262066343537,3.5520292304630474,3.7087937870773615
cifar10,scrub,0.0005,10,3,64.0,100.0,5.0,0.34375,0.8757307698826282,1.3050604181376495,0.4078450724061172,0.2497954726346094,0.7695359770972504,1.0723200972713407,0.3807293706737954,0.2084389411726377,9.492532660172358,9.763516987166398,3.7159713051556302,3.5575941583061503,3.7125998023840787
cifar10,scrub,0.001,5,3,64.0,100.0,3.0,0.17222222222222222,0.9013893061439814,1.3283468752868186,0.4132244524375778,0.2549848430549372,0.7757335980596706,1.0973671984793194,0.38365542611986314,0.21066949834074403,9.487585401984582,9.763526557330545,3.729555394667206,3.5554627804205823,3.7215694353960775
cifar10,scrub,0.001,7,3,64.0,100.0,3.0,0.24027777777777778,0.9094308528686147,1.3570506174601467,0.415452916668965,0.25989216431440787,0.7805748762359959,1.1038659372604234,0.3836254343839896,0.21050630926949981,9.492138661337194,9.76358436935115,3.7313810558036034,3.5618061383598687,3.7273814634806013
cifar10,scrub,0.001,10,3,64.0,100.0,3.0,0.3423611111111111,0.9272884727400004,1.4026735495539617,0.4198218037916622,0.27021789112017985,0.7803166236134101,1.0982218487517648,0.38276415948375875,0.21011709161410982,9.495714711994813,9.763607045913878,3.742452545652639,3.562451066357271,3.734439936116074
cifar10,ascent_forget,0.0001,1,1,64.0,100.0,,6.944444444444445e-06,0.726989114609782,0.9912011269814787,0.3554412374277347,0.19260309405239154,0.6979998250835919,0.9615460664855613,0.3558425441048843,0.1818156236323942,9.073481452624375,9.406799628798645,4.812188445509849,3.71181733727489,3.499490130772583
cifar10,ascent_forget,0.0001,3,1,64.0,100.0,,2.0833333333333333e-05,1.5658836267441323,2.480986311548766,0.5955455027584342,0.4896069553095673,1.0786289438352488,1.6509649748076218,0.474193713567374,0.3121398764186914,9.026353992927598,9.370520117561586,4.602113800244103,3.435044465064163,3.8902888545023266
cifar10,ascent_forget,0.0001,5,1,64.0,100.0,,3.472222222222222e-05,2.926402639663193,4.517664791542844,0.9241542171171846,0.9429399459970095,1.8464385820980533,2.980098279007594,0.6592644370207313,0.5760517429092855,8.90713172752174,9.32858152052159,4.298700163429285,3.2165183912774498,4.5599909830943295
cifar10,ascent_forget,0.0001,7,1,64.0,100.0,,4.861111111111111e-05,4.245592860868241,6.207928510031735,1.2477335957214528,1.360122373828208,2.7783882148953905,4.405092759273311,0.8612633405599096,0.885330234288231,8.577760816238477,9.283753779734571,3.8646615172970713,3.156341262844138,5.200580630667369
cifar10,ascent_forget,0.0001,10,1,64.0,100.0,,6.944444444444444e-05,5.875836351605406,7.839747440490169,1.6602541197169287,1.8522774448504957,4.0689849674450285,6.299792395125828,1.1529593445379875,1.3017051370760377,8.370180819175841,9.076272531128888,3.726172649968345,3.060634972726217,6.105000712742092
cifar10,scrubnew,5e-05,5,1,64.0,100.0,3.0,0.17359722222222224,1.1170569910730657,1.7796384387773398,0.4718568170738563,0.34388262517632556,0.8335409887112291,1.1939712539404292,0.3978245163649995,0.22347811933867465,9.286841045332514,9.486373138235026,5.222599849695726,3.7187734636424175,3.7458130083722696
cifar10,scrubnew,5e-05,7,1,64.0,100.0,3.0,0.2430277777777778,1.1170569910730657,1.7796384387773398,0.4718568170738563,0.34388262517632556,0.8335409887112291,1.1939712539404292,0.3978245163649995,0.22347811933867465,9.286841045332514,9.486373138235026,5.222599849695726,3.7187734636424175,3.7458130083722696
cifar10,scrubnew,5e-05,10,1,64.0,100.0,3.0,0.3471736111111111,1.1170569910730657,1.7796384387773398,0.4718568170738563,0.34388262517632556,0.8335409887112291,1.1939712539404292,0.3978245163649995,0.22347811933867465,9.286841045332514,9.486373138235026,5.222599849695726,3.7187734636424175,3.7458130083722696
cifar10,ascent_forget,0.0001,1,7,64.0,100.0,,6.944444444444445e-06,1.1770280069190096,1.932733866523517,0.46282468400369287,0.36457091645951123,0.9147769065411913,1.3832789113559454,0.4112116980530032,0.2601355545704494,9.690181554113053,9.72170610612874,6.590060981956448,3.380242908207949,3.927328822524418
cifar10,ascent_forget,0.0001,3,7,64.0,100.0,,2.0833333333333333e-05,4.98442420901328,7.365203857882995,1.1602295131537397,1.5299079305657262,3.7988518133032056,5.798660765131981,0.8663291196077137,1.1589805091490821,9.59373447124735,9.619152969517282,5.608382646024526,3.6656913024359365,6.125670164521279
cifar10,ascent_forget,0.0001,5,7,64.0,100.0,,3.472222222222222e-05,8.068503231578584,9.471178206403492,1.7782213110647827,2.29306053557214,6.863131030743808,8.51663898532737,1.3374434670267648,1.9396846466975106,9.543995429074196,9.599575373892483,5.217787317572893,3.4513336384956284,8.158543230465527
cifar10,ascent_forget,0.0001,7,7,64.0,100.0,,4.861111111111111e-05,9.234559135216358,9.705667059635326,2.193090864146424,2.631194894357705,8.46201309613961,9.320214936413326,1.6861004501294585,2.3464809524332706,9.431946266022235,9.502759474110837,5.184755050104359,3.244782034244813,9.042839499126067
cifar10,ascent_forget,0.0001,10,7,64.0,100.0,,6.944444444444444e-05,9.529901323807735,9.843232579226482,2.600089325547237,2.864209427256117,9.256956542552343,9.540580454131117,2.0341286208012486,2.6340549042895476,9.135083992123226,9.148831051213136,4.869179654630472,3.1813471282239654,9.30731395282777
cifar10,scrubnew,0.0005,5,7,64.0,100.0,3.0,0.17359722222222224,1.1271484125161209,1.7732822030110649,0.4744761738613609,0.345194657749551,0.8366395538423318,1.1686882229135576,0.40016810485500387,0.22534522674180293,9.75069436915657,9.777966170414269,7.279709661172221,2.858634902559513,3.9048274451716742
cifar10,scrubnew,0.0005,7,7,64.0,100.0,3.0,0.2430277777777778,1.1271484125161209,1.7732822030110649,0.4744761738613609,0.345194657749551,0.8366395538423318,1.1686882229135576,0.40016810485500387,0.22534522674180293,9.75069436915657,9.777966170414269,7.279709661172221,2.858634902559513,3.9048274451716742
cifar10,scrubnew,0.0005,10,7,64.0,100.0,3.0,0.3471736111111111,1.1271484125161209,1.7732822030110649,0.4744761738613609,0.345194657749551,0.8366395538423318,1.1686882229135576,0.40016810485500387,0.22534522674180293,9.75069436915657,9.777966170414269,7.279709661172221,2.858634902559513,3.9048274451716742
cifar10,scrub,5e-05,5,6,64.0,100.0,3.0,0.17291666666666666,0.9108231227102664,1.3535574649931843,0.4264914843100403,0.2649040422410755,0.8437076228243924,1.3350723004534946,0.4126757437471449,0.3184995236813303,9.825158919417925,9.986334089422739,4.6155318397887735,3.7171342426345544,3.8598965549841946
cifar10,scrub,5e-05,7,6,64.0,100.0,3.0,0.24166666666666667,0.9122887201464274,1.3486658906068494,0.4264240531065652,0.2647413657265165,0.8429823312848652,1.332815927420421,0.4126627544263567,0.318582384045806,9.825158919417925,9.988172902423075,4.617107243127479,3.7165952538415037,3.8601433236164056
cifar10,scrub,5e-05,10,6,64.0,100.0,3.0,0.34479166666666666,0.9110865975668788,1.3496588653158332,0.426292764097644,0.26502246344870867,0.8434352110643515,1.3447906970592567,0.41332846637802306,0.319063000253919,9.825158919417925,9.988172902423075,4.617977376711463,3.717102423184956,3.859893576016385
cifar10,scrub,0.005,5,3,64.0,100.0,5.0,0.1736111111111111,0.9167525087971592,1.4781426303297533,0.4067311033648408,0.27782953796107407,0.7629865300968783,1.0952075416987495,0.3730787082816011,0.20970802149741802,9.510367380834571,9.760074890555845,3.6224111226912243,3.534476864735741,3.7300354732428698
cifar10,scrub,0.005,7,3,64.0,100.0,5.0,0.24166666666666667,1.0609762955381328,1.7633466514452913,0.4445206583958814,0.33364213088770894,0.7842180709906957,1.1321976320070983,0.37991883580650143,0.2181480538240607,9.509886835605215,9.75821720203613,3.714856097529173,3.5631943330705353,3.785027067378014
cifar10,scrub,0.005,10,3,64.0,100.0,5.0,0.34375,1.2728892832879979,2.2116669335336008,0.5000441615093201,0.41551973733120473,0.8097578547360226,1.2218369652724417,0.3891423754540253,0.23018640356476094,9.512075175336307,9.768364747741154,3.804335269824619,3.575346133488246,3.864907437786776
cifar10,scrubnew,0.001,5,2,64.0,100.0,5.0,0.1736111111111111,0.8544796396890488,1.2264123948825287,0.4054457836097494,0.23629826743703503,0.7455585959267744,1.0084644781990668,0.37592627270202067,0.19349843055938998,9.233627101764968,9.624823409069696,2.5066906197026064,2.917527642525698,3.6112217791269305
cifar10,scrubnew,0.001,7,2,64.0,100.0,5.0,0.24291666666666667,0.8544796396890488,1.2264123948825287,0.4054457836097494,0.23629826743703503,0.7455585959267744,1.0084644781990668,0.37592627270202067,0.19349843055938998,9.233627101764968,9.624823409069696,2.5066906197026064,2.917527642525698,3.6112217791269305
cifar10,scrubnew,0.001,10,2,64.0,100.0,5.0,0.346875,0.8544796396890488,1.2264123948825287,0.4054457836097494,0.23629826743703503,0.7455585959267744,1.0084644781990668,0.37592627270202067,0.19349843055938998,9.233627101764968,9.624823409069696,2.5066906197026064,2.917527642525698,3.6112217791269305
cifar10,ascent_forget,0.001,1,1,64.0,100.0,,6.944444444444445e-06,0.7316366489915586,1.007160680085317,0.35748462952179993,0.1944754786383619,0.7002502480993889,0.970544695198693,0.3564469203367297,0.1826034330331921,9.020909851837777,9.396285308641326,4.4994437659013595,3.567685769756344,3.4842655829762417
cifar10,ascent_forget,0.001,3,1,64.0,100.0,,2.0833333333333333e-05,1.6030613031102858,2.547798212610398,0.6088295208784892,0.5028987609137754,1.1238243298435313,1.6337272541302994,0.4846677448010426,0.31904036454080387,8.841411928104682,9.167496370600876,3.806204749016685,3.4031786411414444,3.8560991870194994
cifar10,ascent_forget,0.001,5,1,64.0,100.0,,3.472222222222222e-05,2.921412578276016,4.487993371297703,0.9448410848898675,0.9430881974083142,1.883921590000087,2.99104845499363,0.6784992416595538,0.5857114328763754,7.101145062796945,7.954531983942801,3.07172895266016,2.412561834280982,3.9688264103576825
cifar10,ascent_forget,0.001,7,1,64.0,100.0,,4.861111111111111e-05,4.16825284136176,6.078111792122571,1.267777928677972,1.3390932479223465,2.813172469636985,4.313031914600273,0.8909020742948296,0.8854508901274832,6.714111166198605,6.897057717277965,3.155302071765772,2.081354010775515,4.56517882573245
cifar10,ascent_forget,0.001,10,1,64.0,100.0,,6.944444444444444e-05,5.619502579349831,7.6076619807271975,1.6559377788870566,1.7778063672659568,3.9545037317382405,6.1813514375919505,1.1772587965459982,1.2794433176705275,6.597807247536554,6.698897351592773,2.7104875634122116,2.070007800804693,5.390604519541543
cifar10,ascent_forget,5e-05,1,6,64.0,100.0,,0.00034722222222222224,2.9375659051337233,5.087946616179305,0.8404656421635058,0.957936166232211,2.318302798875864,5.454978620554433,0.7118715239122642,0.936172943690335,9.767870823818946,9.950356159438613,6.829969745711113,2.6731461449953926,5.007913175942845
cifar10,ascent_forget,5e-05,3,6,64.0,100.0,,0.0010416666666666667,8.38355934783781,9.418835276708295,2.3229027227793,2.3467490294314253,7.466827755572688,9.184312448838757,1.732539185548397,2.080129733541626,9.681303371180114,9.913937724676272,7.899580899210514,2.802940061581417,8.510563491530204
cifar10,ascent_forget,5e-05,5,6,64.0,100.0,,0.001736111111111111,9.390422701659155,9.73763457406657,3.3112855274134803,2.8319456006755295,9.013738726210294,9.475966460864036,2.4972915224777115,2.545150004064403,9.679749136105775,9.862692275147253,7.799261653483259,2.978651719730986,9.361303521325075
cifar10,ascent_forget,5e-05,7,6,64.0,100.0,,0.0024305555555555556,9.529281212339678,9.852199404708433,3.936873218743853,3.097759244529755,9.323205148335944,9.575574460199126,3.0432218789868286,2.8095068722958265,9.699545649659278,9.873293013997746,7.677046855193394,3.091903176842462,9.517344003444967
cifar10,ascent_forget,5e-05,10,6,64.0,100.0,,0.003472222222222222,9.643203156830005,9.948546783703481,4.472172674305529,3.303591388090133,9.450353119114807,9.655159571799919,3.551276429870626,3.038295990549061,9.73129237565485,9.86849089674341,7.491068818226837,3.2363646535809205,9.608282883866554
cifar10,scrubnew,5e-05,5,5,64.0,100.0,3.0,0.17347222222222222,0.8723538916716893,1.240705570631291,0.41262177896972724,0.24451527640760287,0.7722916890046628,1.0789703965119046,0.38547717725889286,0.240351950932054,9.954410194887119,10.086522470424724,8.8260120177367,2.0184918476412252,3.8663519251878236
